TREE_NUMBER, SAMPLE_SIZE, FEATURES_PER_TREE, MIN_SAMPLES_PER_NODE, NODE_LIMIT, ALLOW_REPEAT_SAMPLES, TP , TN, FP, FN, err     , acc     , pre     , rec     , F1
106,301,109,60,50,1,110,18,20,4,0.157895,0.842105,0.846154,0.964912,0.901639
106,301,109,60,50,1,109,18,20,5,0.164474,0.835526,0.844961,0.956140,0.897119
106,301,109,60,50,1,110,20,18,4,0.144737,0.855263,0.859375,0.964912,0.909091
106,301,109,60,50,1,111,20,18,3,0.138158,0.861842,0.860465,0.973684,0.913580
106,301,109,60,50,1,113,23,15,1,0.105263,0.894737,0.882813,0.991228,0.933884
106,301,109,60,50,1,110,22,16,4,0.131579,0.868421,0.873016,0.964912,0.916667
106,301,109,60,50,1,110,20,18,4,0.144737,0.855263,0.859375,0.964912,0.909091
106,301,109,60,50,1,111,22,16,3,0.125000,0.875000,0.874016,0.973684,0.921162
106,301,109,60,50,1,111,21,17,3,0.131579,0.868421,0.867188,0.973684,0.917355
106,301,109,60,50,1,111,22,16,3,0.125000,0.875000,0.874016,0.973684,0.921162
106,301,109,60,50,1,110,20,18,4,0.144737,0.855263,0.859375,0.964912,0.909091
33,363,115,72,50,1,111,22,16,3,0.125000,0.875000,0.874016,0.973684,0.921162
33,363,115,72,50,1,109,20,18,5,0.151316,0.848684,0.858268,0.956140,0.904564
33,363,115,72,50,1,109,21,17,5,0.144737,0.855263,0.865079,0.956140,0.908333
33,363,115,72,50,1,112,20,18,2,0.131579,0.868421,0.861538,0.982456,0.918033
33,363,115,72,50,1,108,22,16,6,0.144737,0.855263,0.870968,0.947368,0.907563
33,363,115,72,50,1,109,18,20,5,0.164474,0.835526,0.844961,0.956140,0.897119
33,363,115,72,50,1,108,19,19,6,0.164474,0.835526,0.850394,0.947368,0.896266
33,363,115,72,50,1,110,20,18,4,0.144737,0.855263,0.859375,0.964912,0.909091
33,363,115,72,50,1,107,21,17,7,0.157895,0.842105,0.862903,0.938596,0.899160
33,363,115,72,50,1,107,23,15,7,0.144737,0.855263,0.877049,0.938596,0.906780
33,363,115,72,50,1,109,23,15,5,0.131579,0.868421,0.879032,0.956140,0.915966
89,196,105,39,50,1,112,15,23,2,0.164474,0.835526,0.829630,0.982456,0.899598
89,196,105,39,50,1,111,18,20,3,0.151316,0.848684,0.847328,0.973684,0.906122
89,196,105,39,50,1,111,22,16,3,0.125000,0.875000,0.874016,0.973684,0.921162
89,196,105,39,50,1,111,20,18,3,0.138158,0.861842,0.860465,0.973684,0.913580
89,196,105,39,50,1,111,19,19,3,0.144737,0.855263,0.853846,0.973684,0.909836
89,196,105,39,50,1,110,21,17,4,0.138158,0.861842,0.866142,0.964912,0.912863
89,196,105,39,50,1,111,20,18,3,0.138158,0.861842,0.860465,0.973684,0.913580
89,196,105,39,50,1,112,18,20,2,0.144737,0.855263,0.848485,0.982456,0.910569
89,196,105,39,50,1,111,19,19,3,0.144737,0.855263,0.853846,0.973684,0.909836
89,196,105,39,50,1,111,19,19,3,0.144737,0.855263,0.853846,0.973684,0.909836
89,196,105,39,50,1,111,17,21,3,0.157895,0.842105,0.840909,0.973684,0.902439
26,322,84,64,50,1,107,24,14,7,0.138158,0.861842,0.884298,0.938596,0.910638
26,322,84,64,50,1,108,20,18,6,0.157895,0.842105,0.857143,0.947368,0.900000
26,322,84,64,50,1,109,23,15,5,0.131579,0.868421,0.879032,0.956140,0.915966
26,322,84,64,50,1,109,19,19,5,0.157895,0.842105,0.851563,0.956140,0.900826
26,322,84,64,50,1,110,20,18,4,0.144737,0.855263,0.859375,0.964912,0.909091
26,322,84,64,50,1,108,20,18,6,0.157895,0.842105,0.857143,0.947368,0.900000
26,322,84,64,50,1,107,21,17,7,0.157895,0.842105,0.862903,0.938596,0.899160
26,322,84,64,50,1,109,19,19,5,0.157895,0.842105,0.851563,0.956140,0.900826
26,322,84,64,50,1,111,19,19,3,0.144737,0.855263,0.853846,0.973684,0.909836
26,322,84,64,50,1,107,21,17,7,0.157895,0.842105,0.862903,0.938596,0.899160
26,322,84,64,50,1,109,21,17,5,0.144737,0.855263,0.865079,0.956140,0.908333
